************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
*      362 *       362 *         0 * 9.5612659 *
*      363 *       363 * 3.0001506 *         0 *
*      364 *       364 * 2.9972286 *         0 *
*      365 *       365 * 5.2157262 *         0 *
*      366 *       366 * 1.5730342 *         0 *
*      367 *       367 * 7.0800898 *         0 *
*      368 *       368 *         0 *         0 *
*      369 *       369 * 6.6002385 * 0.1498562 *
*      370 *       370 *         0 *         0 *
*      371 *       371 *         0 *         0 *
*      372 *       372 *         0 * 4.2701318 *
*      373 *       373 * 4.7298756 * 5.1909714 *
*      374 *       374 *         0 *         0 *
*      375 *       375 * 9.0700605 *         0 *
*      376 *       376 * 8.6100673 *         0 *
*      377 *       377 * 5.8016088 *         0 *
*      378 *       378 *         0 *         0 *
*      379 *       379 * 0.2696275 * 5.4568371 *
*      380 *       380 * 0.4191600 * 1.4810069 *
*      381 *       381 *         0 * 4.0515238 *
*      382 *       382 *         0 * 9.5626401 *
*      383 *       383 * 3.5385883 * 4.3431667 *
*      384 *       384 *         0 * 6.9496346 *
*      385 *       385 * 5.4647129 *         0 *
*      386 *       386 * 4.3001313 *         0 *
*      387 *       387 * 3.0352577 * 4.8848193 *
*      388 *       388 * 4.4201293 *         0 *
*      389 *       389 *         0 *         0 *
*      390 *       390 *         0 * 5.7864685 *
*      391 *       391 *         0 * 9.0200605 *
*      392 *       392 *         0 * 7.5000835 *
*      393 *       393 * 5.1940639 *         0 *
*      394 *       394 *         0 * 10.090044 *
*      395 *       395 * 7.4900835 *         0 *
*      396 *       396 *         0 * 10.430054 *
*      397 *       397 * 8.3731034 *         0 *
*      398 *       398 * 8.4474048 *         0 *
*      399 *       399 * 0.0004998 *         0 *
*      400 *       400 * 1.4401738 *         0 *
*      401 *       401 * 6.0408299 *         0 *
*      402 *       402 *         0 *         0 *
*      403 *       403 * 5.4701137 *         0 *
*      404 *       404 * 3.1901477 *         0 *
*      405 *       405 * 3.7300643 *         0 *
*      406 *       406 * 10.970032 *         0 *
*      407 *       407 *         0 *         0 *
*      408 *       408 * 0.1180434 * 4.0820893 *
*      409 *       409 * 6.3401005 *         0 *
*      410 *       410 *         0 * 3.7901389 *
*      411 *       411 * 2.4800036 * 3.2216104 *
*      412 *       412 *         0 * 6.3101010 *
*      413 *       413 *         0 * 2.7129288 *
*      414 *       414 *         0 *         0 *
*      415 *       415 * 4.5691828 *         0 *
*      416 *       416 *         0 *         0 *
*      417 *       417 *         0 * 7.7200800 *
*      418 *       418 * 3.6014317 * 3.3265570 *
*      419 *       419 * 8.9800615 *         0 *
*      420 *       420 * 2.0207236 *         0 *
*      421 *       421 * 12.033294 *         0 *
*      422 *       422 *         0 * 5.3901147 *
*      423 *       423 * 8.1059979 *         0 *
*      424 *       424 * 4.3506066 *         0 *
*      425 *       425 *         0 * 10.561199 *
*      426 *       426 * 4.9501215 *         0 *
*      427 *       427 *         0 *         0 *
*      428 *       428 * 0.8411765 * 5.8089196 *
*      429 *       429 * 5.5001132 *         0 *
*      430 *       430 * 4.5901269 *         0 *
*      431 *       431 * 2.5776917 * 4.7923937 *
*      432 *       432 * 5.4322212 *         0 *
*      433 *       433 * 1.2801762 *         0 *
*      434 *       434 * 2.0076568 * 3.3997596 *
*      435 *       435 *         0 * 5.1082778 *
*      436 *       436 * 5.4501142 *         0 *
*      437 *       437 *         0 * 7.8700781 *
*      438 *       438 * 5.7159919 *         0 *
*      439 *       439 * 3.6801403 *         0 *
*      440 *       440 * 2.0101654 *         0 *
*      441 *       441 *         0 *         0 *
*      442 *       442 * 6.6200966 *         0 *
*      443 *       443 * 1.4586905 * 2.5514449 *
*      444 *       444 * 0.4148860 * 7.4151926 *
*      445 *       445 * 3.5111759 * 2.6789270 *
*      446 *       446 * 3.0778585 *         0 *
*      447 *       447 * 3.8451133 * 0.5686634 *
*      448 *       448 * 3.8076113 *         0 *
*      449 *       449 * 1.7501691 *         0 *
*      450 *       450 * 1.8801673 *         0 *
*      451 *       451 * 7.5200830 *         0 *
*      452 *       452 * 4.5862543 * 0.8738594 *
*      453 *       453 * 0.8441714 *         0 *
*      454 *       454 * 6.2601020 *         0 *
*      455 *       455 * 8.0700752 *         0 *
*      456 *       456 * 6.0901044 *         0 *
*      457 *       457 * 3.8401381 *         0 *
*      458 *       458 * 0.7799126 * 3.1602238 *
*      459 *       459 * 4.7253593 *         0 *
*      460 *       460 *         0 * 3.3594008 *
*      461 *       461 *         0 * 8.5700673 *
*      462 *       462 * 4.9701210 *         0 *
*      463 *       463 * 9.4863026 *         0 *
*      464 *       464 * 3.0901491 *         0 *
*      465 *       465 * 8.6356330 *         0 *
*      466 *       466 * 4.0137270 *         0 *
*      467 *       467 * 1.7601690 *         0 *
*      468 *       468 * 3.4101445 *         0 *
*      469 *       469 *         0 * 8.3800703 *
*      470 *       470 * 6.0791440 *         0 *
*      471 *       471 *         0 * 6.6000971 *
*      472 *       472 *         0 * 9.0100605 *
*      473 *       473 *         0 *         0 *
*      474 *       474 * 5.6001118 *         0 *
*      475 *       475 * 1.4605260 *         0 *
*      476 *       476 *         0 *         0 *
*      477 *       477 * 7.8000791 *         0 *
*      478 *       478 *         0 * 2.7701540 *
*      479 *       479 * 1.9501662 *         0 *
*      480 *       480 * 4.5301279 *         0 *
*      481 *       481 * 2.9101518 *         0 *
*      482 *       482 * 0.6258710 *         0 *
*      483 *       483 * 5.2801167 *         0 *
*      484 *       484 * 10.630037 *         0 *
*      485 *       485 * 8.3200712 *         0 *
*      486 *       486 * 7.5600825 *         0 *
*      487 *       487 *         0 *         0 *
*      488 *       488 *         0 * 4.3755755 *
*      489 *       489 *         0 * 7.7500795 *
*      490 *       490 * 4.8624491 * 0.4076675 *
*      491 *       491 *         0 * 9.3500556 *
*      492 *       492 * 2.3217746 * 1.5883622 *
*      493 *       493 * 6.1148990 * 3.6051517 *
*      494 *       494 *         0 * 8.9200625 *
*      495 *       495 * 4.8116129 *         0 *
*      496 *       496 *         0 *         0 *
*      497 *       497 *         0 *         0 *
*      498 *       498 *         0 * 7.4106251 *
*      499 *       499 * 4.9301220 *         0 *
************************************************
